"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
291.00000,2386.091188,-26498.035805,17609.048090,10.151974,0.555574,0.756652
292.00000,2998.267543,-26450.266690,17661.398652,10.247829,1.037693,0.988873
293.00000,3615.089481,-26373.414306,17727.766501,10.306760,1.524646,1.223695
294.00000,4234.331597,-26267.256142,17808.271094,10.328465,2.014178,1.459895
295.00000,4853.755731,-26131.705415,17902.958294,10.312820,2.504022,1.696245
296.00000,5471.121722,-25966.811520,18011.800118,10.259882,2.991908,1.931512
297.00000,6084.198110,-25772.759834,18134.694857,10.169885,3.475574,2.164473
298.00000,6690.772889,-25549.870849,18271.467534,10.043243,3.952781,2.393910
299.00000,7288.663961,-25298.598782,18421.870655,9.880544,4.421317,2.618626
300.00000,7875.730153,-25019.528959,18585.585674,9.682549,4.879012,2.837444
301.00000,8449.880704,-24713.375712,18762.224057,9.450189,5.323750,3.049216
302.00000,9009.085768,-24380.978533,18951.329430,9.184560,5.753473,3.252828
303.00000,9551.386054,-24023.298174,19152.379681,8.886918,6.166198,3.447203
304.00000,10074.902246,-23641.412041,19364.789454,8.558670,6.560022,3.631311
305.00000,10577.843990,-23236.509053,19587.912943,8.201372,6.933132,3.804168
306.00000,11058.518417,-22809.883969,19821.046987,7.816720,7.283815,3.964845
307.00000,11515.338394,-22362.931142,20063.434433,7.406538,7.610465,4.112474
308.00000,11946.829993,-21897.137890,20314.267759,6.972774,7.911590,4.246245
309.00000,12351.639602,-21414.077346,20572.692951,6.517490,8.185822,4.365418
310.00000,12728.540431,-20915.400913,20837.813589,6.042850,8.431923,4.469320
311.00000,13076.438215,-20402.830482,21108.695093,5.551110,8.648786,4.557354
312.00000,13394.376960,-19878.149690,21384.369434,5.044608,8.835447,4.628998
313.00000,13681.542742,-19343.196092,21663.839428,4.525752,8.991087,4.683808
314.00000,13937.268138,-18799.851854,21946.083755,3.997011,9.115034,4.721421
315.00000,14161.035188,-18250.034877,22230.061802,3.460899,9.206770,4.741558
316.00000,14352.477953,-17695.689561,22514.718656,2.919964,9.265930,4.744022
317.00000,14511.384135,-17138.777518,22798.990168,2.376778,9.292305,4.728701
318.00000,14637.696158,-16581.268126,23081.808061,1.833925,9.285844,4.695569
319.00000,14731.511327,-16025.129117,23362.105057,1.293982,9.246655,4.644687
320.00000,14793.081360,-15472.317121,23638.820004,0.759516,9.174999,4.576198
321.00000,14822.810999,-14924.768423,23910.902916,0.233065,9.071298,4.490332
322.00000,14821.256561,-14384.389125,24177.320221,-0.282874,8.936122,4.387401
323.00000,14789.122379,-13853.046853,24437.059417,-0.785852,8.770196,4.267800
324.00000,14727.257993,-13332.561203,24689.134136,-1.273484,8.574391,4.132003
325.00000,14636.653760,-12824.695227,24932.588830,-1.743462,8.349721,3.980564
326.00000,14518.436177,-12331.146915,25166.503359,-2.193560,8.097339,3.814108
327.00000,14373.862332,-11853.541097,25389.997409,-2.621651,7.818530,3.633337
328.00000,14204.313699,-11393.421799,25602.234675,-3.025714,7.514707,3.439017
329.00000,14011.289985,-10952.244271,25802.427044,-3.403844,7.187400,3.231983
330.00000,13796.401079,-10531.368868,25989.838124,-3.754261,6.838255,3.013129
